reference	n	word	normalized	lemma	strongs	morphology	tvm_code
Matthew 1:15	8	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:15	9	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:15	10	Μαθθάν,	Μαθθάν	Ματθάν	G3157	N-PRI	
Matthew 1:15	11	Μαθθὰν	Μαθθάν	Ματθάν	G3157	N-PRI	
Matthew 1:15	12	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:15	13	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:15	14	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:15	15	Ἰακώβ,	Ἰακώβ	Ἰακώβ	G2384	N-PRI	
Matthew 1:16	1	Ἰακὼβ	Ἰακώβ	Ἰακώβ	G2384	N-PRI	
Matthew 1:16	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:16	3	ἐγέννησεν	ἐγέννησεν	γεννάω	G1080	V-AAI-3S	5656
Matthew 1:16	4	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:16	5	Ἰωσὴφ	Ἰωσήφ	Ἰωσήφ	G2501	N-PRI	
Matthew 1:16	6	τὸν	τόν	ὁ	G3588	T-ASM	
Matthew 1:16	7	ἄνδρα	ἄνδρα	ἀνήρ	G0435	N-ASM	
Matthew 1:16	8	Μαρίας,	Μαρίας	Μαρία	G3137	N-GSF	
Matthew 1:16	9	ἐξ	ἐξ	ἐκ	G1537	PREP	
Matthew 1:16	10	ἧς	ἧς	ὅς	G3739	R-GSF	
Matthew 1:16	11	ἐγεννήθη	ἐγεννήθη	γεννάω	G1080	V-API-3S	5681
Matthew 1:16	12	Ἰησοῦς	Ἰησοῦς	Ἰησοῦς	G2424	N-NSM	
Matthew 1:16	13	ὁ	ὁ	ὁ	G3588	T-NSM	
Matthew 1:16	14	λεγόμενος	λεγόμενος	λέγω	G3004	V-PPP-NSM	5746
Matthew 1:16	15	Χριστός.	Χριστός	Χριστός	G5547	N-NSM	
Matthew 1:17	1	Πᾶσαι	Πᾶσαι	πᾶς	G3956	A-NPF	
Matthew 1:17	2	οὖν	οὖν	οὖν	G3767	CONJ	
Matthew 1:17	3	αἱ	αἱ	ὁ	G3588	T-NPF	
Matthew 1:17	4	γενεαὶ	γενεαί	γενεά	G1074	N-NPF	
Matthew 1:17	5	ἀπὸ	ἀπό	ἀπό	G0575	PREP	
Matthew 1:17	6	Ἀβραὰμ	Ἀβραάμ	Ἀβραάμ	G0011	N-PRI	
Matthew 1:17	7	ἕως	ἕως	ἕως	G2193	ADV	
Matthew 1:17	8	Δαυεὶδ	Δαυείδ	Δαυίδ	G1138	N-PRI	
Matthew 1:17	9	γενεαὶ	γενεαί	γενεά	G1074	N-NPF	
Matthew 1:17	10	δεκατέσσαρες,	δεκατέσσαρες	δεκατέσσαρες	G1180	A-NPF	
Matthew 1:17	11	καὶ	καί	καί	G2532	CONJ	
Matthew 1:17	12	ἀπὸ	ἀπό	ἀπό	G0575	PREP	
Matthew 1:17	13	Δαυεὶδ	Δαυείδ	Δαυίδ	G1138	N-PRI	
Matthew 1:17	14	ἕως	ἕως	ἕως	G2193	ADV	
Matthew 1:17	15	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:17	16	μετοικεσίας	μετοικεσίας	μετοικεσία	G3350	N-GSF	
Matthew 1:17	17	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	G0897	N-GSF	
Matthew 1:17	18	γενεαὶ	γενεαί	γενεά	G1074	N-NPF	
Matthew 1:17	19	δεκατέσσαρες,	δεκατέσσαρες	δεκατέσσαρες	G1180	A-NPF	
Matthew 1:17	20	καὶ	καί	καί	G2532	CONJ	
Matthew 1:17	21	ἀπὸ	ἀπό	ἀπό	G0575	PREP	
Matthew 1:17	22	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:17	23	μετοικεσίας	μετοικεσίας	μετοικεσία	G3350	N-GSF	
Matthew 1:17	24	Βαβυλῶνος	Βαβυλῶνος	Βαβυλών	G0897	N-GSF	
Matthew 1:17	25	ἕως	ἕως	ἕως	G2193	ADV	
Matthew 1:17	26	τοῦ	τοῦ	ὁ	G3588	T-GSM	
Matthew 1:17	27	Χριστοῦ	Χριστοῦ	Χριστός	G5547	N-GSM	
Matthew 1:17	28	γενεαὶ	γενεαί	γενεά	G1074	N-NPF	
Matthew 1:17	29	δεκατέσσαρες.	δεκατέσσαρες	δεκατέσσαρες	G1180	A-NPF	
Matthew 1:18	1	Τοῦ	Τοῦ	ὁ	G3588	T-GSM	
Matthew 1:18	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:18	3	Ἰησοῦ	Ἰησοῦ	Ἰησοῦς	G2424	N-GSM	
Matthew 1:18	4	Χριστοῦ	Χριστοῦ	Χριστός	G5547	N-GSM	
Matthew 1:18	5	ἡ	ἡ	ὁ	G3588	T-NSF	
Matthew 1:18	6	γένεσις	γένεσις	γένεσις	G1078	N-NSF	
Matthew 1:18	7	οὕτως	οὕτως	οὕτω	G3779	ADV	
Matthew 1:18	8	ἦν.	ἦν	εἰμί	G1510	V-IAI-3S	5707
Matthew 1:18	9	μνηστευθείσης	μνηστευθείσης	μνηστεύω	G3423	V-APP-GSF	5685
Matthew 1:18	10	τῆς	τῆς	ὁ	G3588	T-GSF	
Matthew 1:18	11	μητρὸς	μητρός	μήτηρ	G3384	N-GSF	
Matthew 1:18	12	αὐτοῦ	αὐτοῦ	αὐτός	G0846	P-GSM	
Matthew 1:18	13	Μαρίας	Μαρίας	Μαρία	G3137	N-GSF	
Matthew 1:18	14	τῷ	τῷ	ὁ	G3588	T-DSM	
Matthew 1:18	15	Ἰωσήφ,	Ἰωσήφ	Ἰωσήφ	G2501	N-PRI	
Matthew 1:18	16	πρὶν	πρίν	πρίν	G4250	ADV	
Matthew 1:18	17	ἢ	ἤ	ἤ	G2228	PRT	
Matthew 1:18	18	συνελθεῖν	συνελθεῖν	συνέρχομαι	G4905	V-2AAN	5629
Matthew 1:18	19	αὐτοὺς	αὐτούς	αὐτός	G0846	P-APM	
Matthew 1:18	20	εὑρέθη	εὑρέθη	εὑρίσκω	G2147	V-API-3S	5681
Matthew 1:18	21	ἐν	ἐν	ἐν	G1722	PREP	
Matthew 1:18	22	γαστρὶ	γαστρί	γαστήρ	G1064	N-DSF	
Matthew 1:18	23	ἔχουσα	ἔχουσα	ἔχω	G2192	V-PAP-NSF	5723
Matthew 1:18	24	ἐκ	ἐκ	ἐκ	G1537	PREP	
Matthew 1:18	25	Πνεύματος	Πνεύματος	πνεῦμα	G4151	N-GSN	
Matthew 1:18	26	Ἁγίου.	Ἁγίου	ἅγιος	G0040	A-GSN	
Matthew 1:19	1	Ἰωσὴφ	Ἰωσήφ	Ἰωσήφ	G2501	N-PRI	
Matthew 1:19	2	δὲ	δέ	δέ	G1161	CONJ	
Matthew 1:19	3	ὁ	ὁ	ὁ	G3588	T-NSM	
Matthew 1:19	4	ἀνὴρ	ἀνήρ	ἀνήρ	G0435	N-NSM	
Matthew 1:19	5	αὐτῆς,	αὐτῆς	αὐτός	G0846	P-GSF	
Matthew 1:19	6	δίκαιος	δίκαιος	δίκαιος	G1342	A-NSM	
Matthew 1:19	7	ὢν	ὤν	εἰμί	G1510	V-PAP-NSM	5723
Matthew 1:19	8	καὶ	καί	καί	G2532	CONJ	
Matthew 1:19	9	μὴ	μή	μή	G3361	PRT-N	
Matthew 1:19	10	θέλων	θέλων	θέλω	G2309	V-PAP-NSM	5723
Matthew 1:19	11	αὐτὴν	αὐτήν	αὐτός	G0846	P-ASF	
Matthew 1:19	12	δειγματίσαι,	δειγματίσαι	δειγματίζω	G1165	V-AAN	5658
