strongs	word	brief_definition	full_definition
G1415	δυνατός, ή, όν	powerful, able, possible	(a) of persons: powerful, able, (b) of things: possible.
G1416	δύνω	I sink, set	I sink, set (as the sun).
G1417	δύο	two	two.
G1419	δυσβάστακτος, ον	difficult to carry	difficult to carry, oppressive.
G1420	δυσεντερία, ας, ἡ	dysentery	dysentery.
G1421	δυσερμήνευτος, ον	difficult to interpret	difficult to interpret, hard to be understood.
G1422	δύσκολος, ον	difficult	difficult, hard; of persons: hard to please.
G1423	δυσκόλως	with difficulty, hardly	with difficulty, hardly.
G1424	δυσμή, ῆς, ἡ	a setting of the sun, the West	a setting (of the sun), hence: the West.
G1425	δυσνόητος, ον	hard to understand	hard to understand.
G1426	δυσφημία, ας, ἡ	evil report, defamation	evil report, defamation, words of ill omen.
G1427	δώδεκα	twelve	twelve; the usual way in which the Twelve apostles of Jesus are referred to.
G1428	δωδέκατος, η, ον	twelfth	twelfth.
G1429	δωδεκάφυλον, ου, τό	the Twelve Tribes of Israel	the Twelve Tribes (of Israel).
G1430	δῶμα, ατος, τό	the top of the house	the roof (of a house), the top of the house.
G1431	δωρεά, ᾶς, ἡ	a free gift	a (free) gift, a gift (without repayment).
G1432	δωρεάν	as a free gift, without payment, freely	as a free gift, without payment, freely.
G1433	δωρέομαι	I give, grant, donate	I give, grant, donate.
G1434	δώρημα, ατος, τό	a gift, bounty	a gift, bounty.
G1435	δῶρον, ου, τό	a gift, present	a gift, present.
G1436	ἔα	an interjection: ho!	an interjection, Ho! Ah! Ha! It is supposed to imply surprise, fear and indignation.
G1437	ἐάν	if	if.
G1438	ἑαυτοῦ, ῆς, οῦ	himself, herself, itself	himself, herself, itself.
G1439	ἐάω	I allow, permit, leave	I allow, permit, let alone, leave.
G1440	ἑβδομήκοντα	seventy	seventy.
G1441	ἑβδομηκοντάκις	seventy times	seventy times.
G1442	ἕβδομος, η, ον	seventh	seventh.
G1443	Ἕβερ, ὁ	Eber	Eber, father of Peleg and son of Shelah.
G1444	Ἑβραϊκός, ή, όν	Hebrew	Hebrew.
G1445	Ἑβραῖος, ου, ὁ	a Hebrew	a Hebrew, particularly one who speaks Hebrew (Aramaic).
G1446	Ἑβραΐς, ΐδος, ἡ	the Hebrew language, Aramaic	the Hebrew language, or rather: Aramaic.
G1447	Ἑβραϊστί	in the Hebrew or Aramaic dialect	in the Hebrew, or rather, in the Aramaic dialect.
G1448	ἐγγίζω	I come near, approach	trans: I bring near; intrans: I come near, approach.
G1449	ἐγγράφω	I write, inscribe	I write, inscribe.
G1450	ἔγγυος, ου, ὁ, ἡ	a surety, security	a surety, security.
G1451	ἐγγύς	near	near.
G1452	ἐγγύτερον	nearer	nearer.
G1453	ἐγείρω	I wake, arouse, raise up	(a) I wake, arouse, (b) I raise up.
G1454	ἔγερσις, εως, ἡ	a waking up, resurrection	a waking up, resurrection.
G1455	ἐγκάθετος, ου, ὁ, ἡ	a spy	a spy.
G1456	ἐγκαίνια, ίων, τά	a renewal, dedication	a renewal, dedication; the feast of rededication.
G1457	ἐγκαινίζω	I consecrate, dedicate	I consecrate, dedicate, renovate.
G1458	ἐγκαλέω	I bring a charge against, accuse	I bring a charge against, accuse.
G1459	ἐγκαταλείπω	I abandon, desert	I leave in the lurch, abandon (one who is in straits), desert.
G1460	ἐγκατοικέω	I dwell in, among	I dwell in, among.
G1461	ἐγκεντρίζω	I graft in	I graft in, ingraft.
G1462	ἔγκλημα, ατος, τό	an accusation, charge	an accusation, charge.
G1463	ἐγκομβόομαι	I clothe myself	I clothe myself (originally: I tie round in a knot).
G1464	ἐγκοπή, ῆς, ἡ	an impediment, hindrance	an incision, a cutting, break; met: an interruption, a hindrance.
G1465	ἐγκόπτω	I interrupt, hinder	I interrupt, hinder.
G1466	ἐγκράτεια, ας, ἡ	self-mastery, self-control	self-mastery, self-restraint, self-control, continence.
G1467	ἐγκρατεύομαι	I exercise self-control	I exercise self-control, am continent.
G1468	ἐγκρατής, ές	self-controlled	self-controlled.
G1469	ἐγκρίνω	I count among	I count among.
G1470	ἐγκρύπτω	I hide in, mix with	I hide in, mix with.
G1471	ἔγκυος, ον	with child, pregnant	with child, pregnant.
G1472	ἐγχρίω	I rub in, anoint	I rub in, anoint.
G1473	ἐγώ	I	I, the first-person pronoun.
G1474	ἐδαφίζω	I dash to the ground	I dash to the ground, level with the ground.
G1475	ἔδαφος, ους, τό	the base, ground	the base, ground, bottom.
G1476	ἑδραῖος, αία, αῖον	firm, steadfast	sitting, seated; steadfast, firm.
G1477	ἑδραίωμα, ατος, τό	a foundation, stay, support	a foundation, stay, support.
G1478	Ἑζεκίας, ου, ὁ	Hezekiah	Hezekiah, son of Ahaz, father of Manasseh, and king of Judah (727-686 [?] B.C.).
G1479	ἐθελοθρησκεία, ας, ἡ	arbitrary worship	arbitrary worship, self-imposed worship.
G1480	ἐθίζω	I accustom	I accustom.
G1481	ἐθνάρχης, ου, ὁ	an ethnarch, tribal lord	an ethnarch, tribal lord, a subordinate ruler.
G1482	ἐθνικός, ή, όν	pagan, heathen, gentile; a Gentile, non-Jew	pagan, heathen, gentile; subst: a Gentile, non-Jew.
G1483	ἐθνικῶς	in the manner of Gentiles	in the manner of Gentiles, like the rest of the world.
G1484	ἔθνος, ους, τό	a race, people, the Gentiles	a race, people, nation; the nations, heathen world, Gentiles.
G1485	ἔθος, ους, τό	a custom	a custom, habit; an institute, rite.
G1486	εἴωθα	I am accustomed, custom, what was customary	I am accustomed, custom, what was customary.
G1487	εἰ	if	if.
G1489	εἴγε	if indeed, seeing that, unless	if indeed, seeing that, unless.
G1490	εἰ δὲ μήγε	but if not, else, otherwise	but if not, else, otherwise.
G1491	εἶδος, ους, τό	visible form, shape, appearance, kind	visible form, shape, appearance, outward show, kind, species, class.
G1492	οἶδα	I know, remember	I know, remember, appreciate.
G1493	εἰδωλεῖον, ου, τό	a temple for an image	a temple for (containing) an image (an idol).
G1494	εἰδωλόθυτος, ον	sacrificed to an image	(of meat), sacrificed to an image (or an idol).
G1495	εἰδωλολατρεία, ας, ἡ	worship or service of an image	service (worship) of an image (an idol).
G1496	εἰδωλολάτρης, ου, ὁ	a worshipper of an image	a server (worshipper) of an image (an idol).
G1497	εἴδωλον, ου, τό	an idol, false god	an idol, false god.
G1500	εἰκῇ	without purpose, in vain	without a cause, purpose; purposelessly, in vain, for nothing.
G1501	εἴκοσι	twenty	twenty.
G1502	εἴκω	I give way, yield	I give way, yield, submit.
G1503	ἔοικα	I am like, resemble	I am like, resemble.
G1504	εἰκών, όνος, ἡ	an image, likeness, bust	an image, likeness, bust.
G1505	εἰλικρίνεια, ας, ἡ	clearness, sincerity, purity	clearness, sincerity, purity.
G1506	εἰλικρινής, ές	pure, uncontaminated, sincere	(originally: unmixed), pure, uncontaminated, sincere.
G1510	εἰμί	I am, exist	I am, exist.
G1512	εἴπερ	if indeed, if so	if indeed, if so.
G1514	εἰρηνεύω	I am peaceful, keep the peace, am at peace	I am peaceful, keep the peace, am at peace.
G1515	εἰρήνη, ης, ἡ	peace, peace of mind	peace, peace of mind; invocation of peace a common Jewish farewell, in the Hebraistic sense of the health (welfare) of an individual.
G1516	εἰρηνικός, ή, όν	peaceable, disposed to peace	peaceable, disposed to peace, profitable.
G1517	εἰρηνοποιέω	I make peace, reconcile	I make peace, reconcile.
G1518	εἰρηνοποιός, όν	pacific, loving peace, a peace-maker	pacific, loving peace, a peace-maker.
G1519	εἰς	into, in, among, till, for	into, in, unto, to, upon, towards, for, among.
G1520	εἷς, μία, ἕν	one	one.
G1521	εἰσάγω	I lead in, bring in	I lead in, bring in, introduce.
G1522	εἰσακούω	I hear, listen to	I hear, listen to, heed.
G1523	εἰσδέχομαι	I welcome in	I welcome in, admit, receive.
G1524	εἴσειμι	I go in, enter	I go in, enter (originally: I shall go in).
G1525	εἰσέρχομαι	I go in, come in, enter	I go in, come in, enter.
G1528	εἰσκαλέομαι	I call in, invite	I call in (to my house), invite.
G1529	εἴσοδος, ου, ἡ	entering, entrance, entry	(act of) entering, an entrance, entry.
G1530	εἰσπηδάω	I leap into, rush into	I leap into, rush into.
G1531	εἰσπορεύομαι	I journey into, go into	I journey in(to), I go in(to), enter, intervene.
G1532	εἰστρέχω	I run in	I run in, run into.
G1533	εἰσφέρω	I lead into, bring in	I lead into, bring in, announce.
G1534	εἶτα	then, thereafter, next	then, thereafter, next (marking a fresh stage); therefore, then, furthermore.
G1535	εἴτε	and if, whether	and if, whether.
G1537	ἐκ, ἐξ	from out, out from among, from	from out, out from among, from, suggesting from the interior outwards.
G1538	ἕκαστος, η, ον	each, every one	each (of more than two), every one.
G1539	ἑκάστοτε	at every time, always	at every time, always.
G1540	ἑκατόν	one hundred	one hundred.
G1541	ἑκατονταέτης, ες	a hundred years old	a hundred years old.
G1542	ἑκατονταπλασίων, ον	a hundredfold	a hundredfold.
G1543	ἑκατοντάρχης, ου, ὁ	a centurion	a centurion of the Roman army.
G1544	ἐκβάλλω	I throw, cast, put out, banish, bring forth, produce	I throw (cast, put) out; I banish; I bring forth, produce.
G1545	ἔκβασις, εως, ἡ	a way out, escape, result	(a) a way out, escape, (b) result, issue.
G1546	ἐκβολή, ῆς, ἡ	a throwing out, a jettisoning	a throwing out, a jettisoning of cargo to lighten a ship.
G1547	ἐκγαμίζω	I give in marriage, marry	I give in marriage, marry.
G1548	ἐκγαμίσκω	I give in marriage	I give in marriage.
G1549	ἔκγονος, ον	descended, a descendant	descended, subst: a descendant.
G1550	ἐκδαπανάω	I spend completely	I spend (give out) completely, exhaust.
G1551	ἐκδέχομαι	I wait for, expect	I wait for, expect.
G1552	ἔκδηλος, ον	perfectly evident, manifest	perfectly evident, manifest.
G1553	ἐκδημέω	I go abroad, am absent	I go abroad, am absent.
G1554	ἐκδίδωμι	I give out, let, let out for my own advantage	I give out, let; middle: I let out for my own advantage.
G1555	ἐκδιηγέομαι	I narrate at length, declare	I narrate at length, declare.
G1556	ἐκδικέω	I give justice over, defend, avenge, vindicate	I give justice over, defend, avenge, vindicate.
G1557	ἐκδίκησις, εως, ἡ	a defense, vengeance, full punishment	(a) a defense, avenging, vindication, vengeance, (b) full (complete) punishment.
G1558	ἔκδικος, ον	avenging, an avenger	avenging, subst: an avenger (the word occurs frequently in the sense of a special advocate [champion] of a city).
G1559	ἐκδιώκω	I persecute, expel by persecuting	I persecute, expel by persecuting, drive out, vex, harass.
G1560	ἔκδοτος, ον	given up, delivered up	given up, delivered up.
G1561	ἐκδοχή, ῆς, ἡ	a waiting for, expectation	a waiting for, expectation.
G1562	ἐκδύω	I put off, take off, strip off	I put off, take off, strip off, with acc. of person or garment or both.
G1563	ἐκεῖ	there, yonder, thither	(a) there, yonder, in that place, (b) thither, there.
G1564	ἐκεῖθεν	thence, from that place	thence, from that place.
G1565	ἐκεῖνος, η, ο	that, that one there, yonder	that, that one there, yonder.
G1566	ἐκεῖσε	thither, there	thither, there, at that place.
G1567	ἐκζητέω	I seek out, require	I seek out, seek out after, require.
G1568	ἐκθαμβέομαι	I am greatly astonished	I am greatly astonished, am awe-struck.
G1569	ἔκθαμβος, ον	full of astonishment, amazed	full of astonishment, amazed.
G1570	ἔκθετος, ον	cast out, exposed	cast out, exposed (to the elements), abandoned.
G1571	ἐκκαθαίρω	I clean out, clean thoroughly	I clean (cleanse) out, clean thoroughly.
G1572	ἐκκαίομαι	I burn with lust	I blaze out, am inflamed.
G1573	ἐκκακέω	I am faint, am weary	I am faint, am weary.
G1574	ἐκκεντέω	I pierce through, transfix	I pierce through (or deeply), transfix.
G1575	ἐκκλάω	I break off	I break off.
G1576	ἐκκλείω	I shut out, exclude	I shut out, exclude, separate.
G1577	ἐκκλησία, ας, ἡ	an assembly, congregation, church	an assembly, congregation, church; the Church, the whole body of Christian believers.
G1578	ἐκκλίνω	I fall away from, turn away	(lit: I bend away from), I fall away from, turn away (from), deviate.
G1579	ἐκκολυμβάω	I swim out	I swim out (of the water).
G1580	ἐκκομίζω	I carry out	I carry out (of the city gate for burial).
