strongs	word	brief_definition	full_definition
G4866	συναθλέω	I compete together with others	I compete together with others, cooperate vigorously with.
G4867	συναθροίζω	I gather together, assemble	I gather together, assemble.
G4868	συναίρω	I make a reckoning, settle accounts	I compare (settle) accounts, make a reckoning.
G4869	συναιχμάλωτος, ου, ὁ	a fellow captive	a fellow captive or prisoner.
G4870	συνακολουθέω	I accompany	I accompany, follow together with.
G4871	συναλίζομαι	I am assembled together with	I am assembled together with.
G4872	συναναβαίνω	I go up with	I go up with.
G4873	συνανάκειμαι	I recline at table with	I recline at table with.
G4874	συναναμίγνυμι	I keep company with	I mingle together with, keep company with.
G4875	συναναπαύομαι	I rest along with	I rest along with.
G4876	συναντάω	I meet, encounter	I meet, encounter, fall in with.
G4877	συνάντησις, εως, ἡ	a meeting with	a meeting with.
G4878	συναντιλαμβάνομαι	I assist, help	I lend a hand along with, take interest in (a thing) along with (others), assist jointly to perform some task, cooperate with, take my share in, help, aid.
G4879	συναπάγω	I lead away with, condescend to	I lead away with, carry along with (in good or bad sense according to context); mid: I conform myself willingly to.
G4880	συναποθνῄσκω	I die together with	I die together with.
G4881	συναπόλλυμι	I perish along with	I perish along with.
G4882	συναποστέλλω	I send together with	I send together with.
G4883	συναρμολογέω	I fit together	I fit together, compact.
G4884	συναρπάζω	I seize, drag by force	I seize, drag by force.
G4885	συναυξάνομαι	I grow together	I grow together.
G4886	σύνδεσμος, ου, ὁ	a band, bond	that which binds together; a band, bond.
G4887	συνδέω	I bind together	I bind together; pass: I am bound together with, as of prisoners in chains.
G4888	συνδοξάζω	I glorify together with	I glorify together with.
G4889	σύνδουλος, ου, ὁ	a fellow servant, colleague	a fellow slave, fellow servant; of Christians: a fellow worker, colleague.
G4890	συνδρομή, ῆς, ἡ	a running together	a running together, concourse, mob.
G4891	συνεγείρω	I raise along with	I raise along with.
G4892	συνέδριον, ου, τό	a council, the Sanhedrin	a council, tribunal; the Sanhedrin, the meeting place of the Sanhedrin.
G4893	συνείδησις, εως, ἡ	the conscience	the conscience, a persisting notion.
G4894	σύνοιδα	I know, consider, am privy to	I know, consider, am privy to.
G4895	σύνειμι	I am with	I am with, come together with.
G4896	σύν εἶμι	I come together	I come together.
G4897	συνεισέρχομαι	I enter together with	I enter together with, embark with.
G4898	συνέκδημος, ου, ὁ, ἡ	a fellow traveler	a fellow traveler.
G4899	συνεκλεκτός, ή, όν	fellow-elect	fellow-elect, fellow-chosen.
G4900	συνελαύνω	I compel, urge	I compel, urge, force together.
G4901	συνεπιμαρτυρέω	I unite in bearing witness	I unite in bearing witness, sanction.
G4902	συνέπομαι	I accompany	I accompany, follow with.
G4903	συνεργέω	I work together	I cooperate with, work together.
G4904	συνεργός, οῦ, ὁ	a fellow worker	a fellow worker, associate, helper.
G4905	συνέρχομαι	I come or go with, accompany, assemble	I come or go with, accompany; I come together, assemble.
G4906	συνεσθίω	I eat with	I eat with.
G4907	σύνεσις, εως, ἡ	understanding	a putting together in the mind, hence: understanding, practical discernment, intellect.
G4908	συνετός, ή, όν	intelligent, prudent, wise	intelligent, prudent, wise, understanding, discerning.
G4909	συνευδοκέω	I consent, agree, am of one mind with	I consent, agree, am of one mind with, am willing.
G4910	συνευωχέομαι	I feast sumptuously with	I feast sumptuously with.
G4911	συνεπίστημι	I rise up together against	I rise up together against.
G4912	συνέχω	I press together, confine, compel, am afflicted with	(a) I press together, close, (b) I press on every side, confine, (c) I hold fast, (d) I urge, impel, (e) pass: I am afflicted with (sickness).
G4913	συνήδομαι	I delight inwardly in	I delight inwardly in, congratulate.
G4914	συνήθεια, ας, ἡ	a custom, habit	a custom, habit, practice.
G4915	συνηλικιώτης, ου, ὁ	one of the same age	one of the same age.
G4916	συνθάπτω	I bury along with	I bury along with.
G4917	συνθλάω	I break, break in pieces	I break, break in pieces, crush, shatter.
G4918	συνθλίβω	I crowd upon	I press on all sides, crowd upon.
G4919	συνθρύπτω	I break in pieces, crush, thoroughly weaken	I break in pieces, crush, thoroughly weaken.
G4920	συνίημι	I consider, understand	I consider, understand, perceive.
G4921	συνίστημι, συνιστάνω	I commend, prove, am composed of, cohere	I place together, commend, prove, exhibit; instrans: I stand with; I am composed of, cohere.
G4922	συνοδεύω	I journey with, accompany	I journey with, accompany.
G4923	συνοδία, ας, ἡ	a company traveling together, a caravan	a company traveling together, a caravan.
G4924	συνοικέω	I dwell with, live in wedlock with	I dwell with, live in wedlock with.
G4925	συνοικοδομέω	I build together with	I build together with.
G4926	συνομιλέω	I talk with	I talk with, live with.
G4927	συνομορέω	I am contiguous with	I am contiguous with, am next door to.
G4928	συνοχή, ῆς, ἡ	distress, anguish	distress, anguish, anxiety.
G4929	συντάσσω	I arrange with, direct, appoint	I arrange with, direct, appoint, prescribe, ordain.
G4930	συντέλεια, ας, ἡ	a completion, consummation, end	a completion, consummation, end.
G4931	συντελέω	I fulfill, accomplish	I bring to an end, fulfill, accomplish.
G4932	συντέμνω	I cut short, bring to swift accomplishment	I cut short, bring to swift accomplishment, determine, decide.
G4933	συντηρέω	I preserve, keep safe, keep in mind	I preserve, keep safe, keep in mind, keep close.
G4934	συντίθημι	I make an agreement, agree	mid. and pass: I make a compact (agreement) with (together), covenant with, agree.
G4935	συντόμως	concisely, briefly	concisely, briefly.
G4936	συντρέχω	I run with	I run (rush) together, run with.
G4937	συντρίβω	I break by crushing	I break by crushing, break in pieces, shatter, crush, bruise.
G4938	σύντριμμα, ατος, τό	crushing, destruction	crushing, destruction, calamity.
G4939	σύντροφος, ου, ὁ	a foster brother	one brought up with, a foster brother, an intimate friend.
G4940	συντυγχάνω	I meet with, come to	I meet with, come to, fall in with.
G4941	Συντύχη, ῆς, ἡ	Syntyche	Syntyche, a woman member of the church at Philippi.
G4942	συνυποκρίνομαι	I dissemble with	I dissemble with, play a part with.
G4943	συνυπουργέω	I help together	I help together, join in serving.
G4944	συνωδίνω	I am in travail together	I am in travail together.
G4945	συνωμοσία, ας, ἡ	a conspiracy, plot	a conspiracy, plot.
G4946	Συράκουσαι, ῶν, αἱ	Syracuse	Syracuse.
G4947	Συρία, ας, ἡ	Syria	Syria, a great Roman imperial province, united with Cilicia.
G4948	Σύρος, ου, ὁ	Syrian	Syrian, belonging to Syria.
G4949	Συροφοινίκισσα, ης, ἡ	Syrophoenician	Syrophoenician, i.e. Phoenician (of Syria, in contrast to Carthage and its territory in North Africa).
G4950	Σύρτις, εως, ἡ	Syrtis, quicksand	Syrtis, a quicksand off the coast of North Africa.
G4951	σύρω	I draw, drag	I draw, drag, force away.
G4952	συσπαράσσω	I throw violently on the ground	I throw violently on the ground.
G4953	σύσσημον, ου, τό	a signal agreed upon	a signal agreed upon.
G4954	σύσσωμος, ον	belonging to the same body	belonging to the same body; fig: of Jews and Gentiles belonging to the same Church.
G4955	συστασιαστής, οῦ, ὁ	a fellow insurgent	a fellow insurgent.
G4956	συστατικός, ή, όν	commendatory	commendatory, introductory.
G4957	συσταυρόω	I crucify together with	I crucify together with.
G4958	συστέλλω	I shorten, swathe	I contract, shorten, wrap around, swathe.
G4959	συστενάζω	I groan together	I groan together.
G4960	συστοιχέω	I correspond to	I am in the same rank with; I answer to, correspond to.
G4961	συστρατιώτης, ου, ὁ	a fellow soldier	a fellow soldier (in the Christian faith).
G4962	συστρέφω	I roll or gather together	I roll or gather together.
G4963	συστροφή, ῆς, ἡ	a gathering together, riotous concourse	a gathering together, riotous concourse, conspiracy.
G4964	συσχηματίζω	I conform to	I conform to.
G4965	Συχάρ, ἡ	Sychar	Sychar, a city of Samaria.
G4966	Συχέμ, ἡ	Shechem	Shechem.
G4967	σφαγή, ῆς, ἡ	slaughter, sacrifice	slaughter, sacrifice.
G4968	σφάγιον, ου, τό	a slaughtered victim	a slaughtered victim.
G4969	σφάζω	I slay	I slay, kill by violence, slaughter, wound mortally.
G4970	σφόδρα	exceedingly, greatly	exceedingly, greatly, very much.
G4971	σφοδρῶς	exceedingly	exceedingly, vehemently.
G4972	σφραγίζω	I set a seal upon	I seal, set a seal upon.
G4973	σφραγίς, ῖδος, ἡ	a signet-ring, impression of a seal, the proof	a seal, signet ring, the impression of a seal, that which the seal attests, the proof.
G4974	σφυρόν, οῦ, τό	the ankle bone	the ankle bone.
G4975	σχεδόν	nearly, almost	nearly, almost.
G4976	σχῆμα, ατος, τό	fashion, habit, form, appearance	fashion, habit, form, appearance.
G4977	σχίζω	I rend, divide asunder	I rend, divide asunder, cleave.
G4978	σχίσμα, ατος, τό	a rent, division	a rent, as in a garment; a division, dissention.
G4979	σχοινίον, ου, τό	a cord, rope	a cord, rope.
G4980	σχολάζω	I have leisure, stand empty	(a) I have leisure, (b) I stand empty (of a house).
G4981	σχολή, ῆς, ἡ	leisure, a school	leisure, a school, place where there is leisure.
G4982	σῴζω	I save, heal	I save, heal, preserve, rescue.
G4983	σῶμα, ατος, τό	body, flesh	body, flesh; the body of the Church.
G4984	σωματικός, ή, όν	bodily, corporeal	bodily, corporeal.
G4985	σωματικῶς	bodily	bodily, corporeally, belonging to the body.
G4986	Σώπατρος, ου, ὁ	Sopater	Sopater, a proper name.
G4987	σωρεύω	I heap up, load	I heap up, load.
G4988	Σωσθένης, ου, ὁ	Sosthenes	Sosthenes, the ruler of the synagogue at Corinth.
G4989	Σωσίπατρος, ου, ὁ	Sosipater	Sosipater, a proper name.
G4990	σωτήρ, ῆρος, ὁ	a savior, deliverer, preserver	a savior, deliverer, preserver.
G4991	σωτηρία, ας, ἡ	deliverance, salvation	welfare, prosperity, deliverance, preservation, salvation, safety.
G4992	σωτήριος, ον	saving, bringing salvation, salvation	saving, bringing salvation; subst: salvation.
G4993	σωφρονέω	I am sober-minded, exercise self-control	I am of sound mind, am sober-minded, exercise self-control.
G4994	σωφρονίζω	I admonish	I make sober-minded, admonish, control.
G4995	σωφρονισμός, οῦ, ὁ	self-control, self-discipline	self-control, self-discipline, prudence.
G4996	σωφρόνως	soberly, with moderation	soberly, with moderation, prudently.
G4997	σωφροσύνη, ης, ἡ	sanity, sobriety	soundness of mind, sanity; self-control, sobriety.
G4998	σώφρων, ον	self-controlled, temperate	of sound mind, self-controlled, temperate, sober-minded, modest, chaste.
G4999	ταβέρναι, ῶν, αἱ	taverns	taverns; Three Taverns, the name of a village or town on the Appian Way, about thirty-three miles from Rome.
G5000	Ταβηθά, ἡ	Tabitha, antelope	antelope; Tabitha, a Christian woman at Joppa.
G5001	τάγμα, ατος, τό	rank, division	rank, division, an ordered series.
G5002	τακτός, ή, όν	appointed, arranged, fixed	appointed, arranged, fixed.
G5003	ταλαιπωρέω	I am miserable, distressed	I endure severe hardship, am harassed, complain.
G5004	ταλαιπωρία, ας, ἡ	hardship, misery	hardship, misery, distress, toil.
