strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H3967	מֵאָה	mêʼâh	may-aw'	n-f	heb	or מֵאיָה; properly, a primitive numeral	a hundred; also as a multiplicative and a fraction	hundred((-fold), -th), sixscore.
H3968	מֵאָה	Mêʼâh	may-aw'	n-f	x-pn	the same as 3967;	Meah, a tower in Jerusalem	Meah.
H3969	מְאָה	mᵉʼâh	meh-aw'	n-f	arc	(Aramaic) corresponding to 3967; properly, a primitive numeral	a hundred; also as a multiplicative and a fraction}	hundred.
H3970	מַאֲוַי	maʼăvay	mah-av-ah'ee	n-m	heb	from 183;	a desire	desire.
H3971	מאוּם	mʼûwm	moom	n-m	heb	usually מוּם; as if passive participle from an unused root probably meaning to stain	a blemish (physically or morally)	blemish, blot, spot.
H3972	מְאוּמָה	mᵉʼûwmâh	meh-oo'-maw	x	heb	apparently a form of 3971;	properly, a speck or point, i.e. (by implication) something; with negative, nothing	fault, no(-ught), ought, somewhat, any (no-)thing.
H3973	מָאוֹס	mâʼôwç	maw-oce'	n-m	heb	from 3988;	refuse	refuse.
H3974	מָאוֹר	mâʼôwr	maw-ore'	n-m	heb	or מָאֹר; also (in plural) feminine מְאוֹרָה; or מְאֹרָה; from 215;	properly, a luminous body or luminary, i.e. (abstractly) light (as an element); figuratively, brightness, i.e.cheerfulness; specifically, a chandelier	bright, light.
H3975	מְאוּרָה	mᵉʼûwrâh	meh-oo-raw'	n-f	heb	feminine passive participle of 215;	something lighted, i.e. an aperture; by implication, a crevice or hole (of a serpent)	den.
H3976	מֹאזֵן	môʼzên	mo-zane'	n-m	heb	from 239;	(only in the dual) a pair of scales	balances.
H3977	מֹאזֵן	môʼzên	mo-zane'	n-m	arc	(Aramaic) corresponding to 3976		balances.
H3978	מַאֲכָל	maʼăkâl	mah-ak-awl'	n-m	heb	from 398;	an eatable (includ. provender, flesh and fruit)	food, fruit, (bake-)meat(-s), victual.
H3979	מַאֲכֶלֶת	maʼăkeleth	mah-ak-eh'-leth	n-f	heb	from 398;	something to eat with, i.e. a knife	knife.
H3980	מַאֲכֹלֶת	maʼăkôleth	mah-ak-o'-leth	n-f	heb	from 398;	something eaten (by fire), i.e. fuel	fuel.
H3981	מַאֲמָץ	maʼămâts	mah-am-awts'	n-m	heb	from 553;	strength, i.e. (plural) resources	force.
H3982	מַאֲמַר	maʼămar	mah-am-ar'	n-m	heb	from 559;	something (authoritatively) said, i.e. an edict	commandment, decree.
H3983	מֵאמַר	mêʼmar	may-mar'	n-m	arc	(Aramaic) corresponding to 3982		appointment, word.
H3984	מָאן	mâʼn	mawn	n-m	arc	(Aramaic) probably from a root corresponding to 579 in the sense of an inclosure by sides;	a utensil	vessel.
H3985	מָאֵן	mâʼên	maw-ane'	v	heb	a primitive root;	to refuse	refuse, × utterly.
H3986	מָאֵן	mâʼên	maw-ane'	a	heb	from 3985;	unwilling	refuse.
H3987	מֵאֵן	mêʼên	may-ane'	a	heb	from 3985;	refractory	refuse.
H3988	מָאַס	mâʼaç	maw-as'	v	heb	a primitive root;	to spurn; also (intransitively) to disappear	abhor, cast away (off), contemn, despise, disdain, (become) loathe(some), melt away, refuse, reject, reprobate, × utterly, vile person.
H3989	מַאֲפֶה	maʼăpheh	mah-af-eh'	n-m	heb	from 644;	something baked, i.e. a batch	baken.
H3990	מַאֲפֵל	maʼăphêl	mah-af-ale'	n-m	heb	from the same as 651;	something opaque	darkness.
H3991	מַאְפֵלְיָה	maʼphêlᵉyâh	mah-af-ay-leh-yaw'	n-f	heb	prolonged feminine of 3990;	opaqueness	darkness.
H3992	מָאַר	mâʼar	maw-ar'	v	heb	a primitive root;	to be bitter or (causatively) to embitter, i.e. be painful	fretting, picking.
H3993	מַאֲרָב	maʼărâb	mah-ar-awb'	n-m	heb	from 693;	an ambuscade	lie in ambush, ambushment, lurking place, lying in wait.
H3994	מְאֵרָה	mᵉʼêrâh	meh-ay-raw'	n-f	heb	from 779;	an execration	curse.
H3995	מִבְדָּלָה	mibdâlâh	mib-daw-law'	n-f	heb	from 914;	a separation, i.e. (concretely) a separate place	separate.
H3996	מָבוֹא	mâbôwʼ	maw-bo'	n-m	heb	from 935; (with or without 8121)	an entrance (the place or the act); specifically sunset or the west; also (adverb with preposition) towards	by which came, as cometh, in coming, as men enter into, entering, entrance into, entry, where goeth, going down, westward. Compare 4126.
H3997	מְבוֹאָה	mᵉbôwʼâh	meb-o-aw'	n-f	heb	feminine of 3996;	a haven	entry.
H3998	מְבוּכָה	mᵉbûwkâh	meb-oo-kaw'	n-f	heb	from 943;	perplexity	perplexity.
H3999	מַבּוּל	mabbûwl	mab-bool'	n-m	heb	from 2986 in the sense of flowing;	a deluge	flood.
H4000	מָבוֹן	mâbôwn	maw-bone'	n	heb	from 995;	instructing	taught.
H4001	מְבוּסָה	mᵉbûwçâh	meb-oo-saw'	n-f	heb	from 947;	a trampling	treading (trodden) down (under foot).
H4002	מַבּוּעַ	mabbûwaʻ	mab-boo'-ah	n-m	heb	from 5042;	a fountain	fountain, spring.
H4003	מְבוּקָה	mᵉbûwqâh	meb-oo-kah'	n-f	heb	from the same as 950;	emptiness	void.
H4004	מִבְחוֹר	mibchôwr	mib-khore'	n-m	heb	from 977;	select, i.e. well fortified	choice.
H4005	מִבְחָר	mibchâr	mib-khawr'	n-m	heb	from 977;	select, i.e. best	choice(-st), chosen.
H4006	מִבְחָר	Mibchâr	mib-khawr'	n-pr-m	x-pn	the same as 4005;	Mibchar, an Israelite	Mibhar.
