strongs	word	transliteration	pronunciation	part_of_speech	language	derivation	definition	kjv_usage
H1413	גָּדַד	gâdad	gaw-dad'	v	heb	a primitive root (compare 1464);	to crowd; also to gash (as if by pressing into)	assemble (selves by troops), gather (selves together, self in troops), cut selves.
H1414	גְּדַד	gᵉdad	ghed-ad'	v	arc	(Aramaic) corresponding to 1413;	to cut down	hew down.
H1415	גָּדָה	gâdâh	gaw-daw'	n-f	heb	from an unused root (meaning to cut off);	a border of a river (as cut into by the stream)	bank.
H1416	גְּדוּד	gᵉdûwd	ghed-ood'	n-m	heb	from 1413;	a crowd (especially of soldiers)	army, band (of men), company, troop (of robbers).
H1417	גְּדוּד	gᵉdûwd	ghed-ood'	n	heb	or גְּדֻדָה; (feminine) from 1413;	a furrow (as cut)	furrow.
H1418	גְּדוּדָה	gᵉdûwdâh	ghed-oo-daw'	n	heb	feminine participle passive of 1413;	an incision	cutting.
H1419	גָּדוֹל	gâdôwl	gaw-dole'	a n-pr-m	heb	or גָּדֹל; (shortened) from 1431;	great (in any sense); hence, older; also insolent	aloud, elder(-est), exceeding(-ly), far, (man of) great (man, matter, thing,-er,-ness), high, long, loud, mighty, more, much, noble, proud thing, × sore, (×) very.
H1420	גְּדוּלָה	gᵉdûwlâh	ghed-oo-law'	n-f	heb	or גְּדֻלָּה; (shortened) or (less accurately) גְּדוּלָּה; feminine of 1419;	greatness; (concretely) mighty acts	dignity, great things(-ness), majesty.
H1421	גִּדּוּף	giddûwph	ghid-doof'	n-m	heb	or (shortened) גִּדֻּף; and (feminine) גִּדּוּפָהxlit giddûphâh corrected to giddûwphâh; or גִּדֻּפָה; from 1422;	vilification	reproach, reviling.
H1422	גְּדוּפָה	gᵉdûwphâh	ghed-oo-faw'	n-f	heb	feminine passive participle of 1442;	a revilement	taunt.
H1423	גְּדִי	gᵉdîy	ghed-ee'	n-m	heb	from the same as 1415;	a young goat (from browsing)	kid.
H1424	גָּדִי	Gâdîy	gaw-dee'	n-pr-m	x-pn	from 1409; fortunate;	Gadi, an Israelite	Gadi.
H1425	גָּדִי	Gâdîy	gaw-dee'	a	x-pn	patronymically from 1410;	a Gadite (collectively) or descendants of Gad	Gadites, children of Gad.
H1426	גַּדִּי	Gaddîy	gad-dee'	n-pr-m	x-pn	intensive for 1424;	Gaddi, an Israelite	Gaddi.
H1427	גַּדִּיאֵל	Gaddîyʼêl	gad-dee-ale'	n-pr-m	x-pn	from 1409 and 410; fortune of God;	Gaddiel, an Israelite	Gaddiel.
H1428	גִּדְיָה	gidyâh	ghid-yaw'	n-f	heb	or גַּדיָה; the same as 1415;	a river brink	bank.
H1429	גְּדִיָּה	gᵉdîyâh	ghed-ee-yaw'	n-f	heb	feminine of 1423;	a young female goat	kid.
H1430	גָּדִישׁ	gâdîysh	gaw-deesh'	n-m	heb	from an unused root (meaning to heap up);	a stack of sheaves; by analogy, a tomb	shock (stack) (of corn), tomb.
H1431	גָּדַל	gâdal	gaw-dal'	v	heb	a primitive root; properly, to twist (compare 1434), i.e.	to be (causatively make) large (in various senses, as in body, mind, estate or honor, also in pride)	advance, boast, bring up, exceed, excellent, be(-come, do, give, make, wax), great(-er, come to... estate, things), grow(up), increase, lift up, magnify(-ifical), be much set by, nourish (up), pass, promote, proudly (spoken), tower.
H1432	גָּדֵל	gâdêl	gaw-dale'	a	heb	from 1431;	large (literally or figuratively)	great, grew.
H1433	גֹּדֶל	gôdel	go'-del	n-m	heb	from 1431;	magnitude (literally or figuratively)	greatness, stout(-ness).
H1434	גְּדִל	gᵉdil	ghed-eel'	n-m	heb	from 1431 (in the sense of twisting);	thread, i.e. a tassel or festoon	fringe, wreath.
H1435	גִּדֵּל	Giddêl	ghid-dale'	n-pr-m	x-pn	from 1431; stout;	Giddel, the name of one of the Nethinim, also of one of 'Solomon's servants'	Giddel.
H1436	גְּדַּלְיָה	Gᵉdalyâh	ghed-al-yaw'	n-pr-m	x-pn	or (prolonged) גְּדַלְיָהוּ; from 1431 and 3050; Jah has become great;	Gedaljah, the name of five Israelites	Gedaliah.
H1437	גִּדַּלְתִּי	Giddaltîy	ghid-dal'-tee	n-pr-m	x-pn	from 1431; I have made great;	Giddalti, an Israelite	Giddalti.
H1438	גָּדַע	gâdaʻ	gaw-dah'	v	heb	a primitive root;	to fell a tree; generally, to destroy anything	cut (asunder, in sunder, down, off), hew down.
H1439	גִּדְעוֹן	Gidʻôwn	ghid-ohn'	n-pr-m	x-pn	from 1438; feller (i.e. warrior);	Gidon, an Israelite	Gideon.
H1440	גִּדְעֹם	Gidʻôm	ghid-ohm'	n-pr-loc	x-pn	from 1438; a cutting (i.e. desolation);	Gidom, a place in Palestine	Gidom.
H1441	גִּדְעֹנִי	Gidʻônîy	ghid-o-nee'	n-pr-m	x-pn	from 1438; warlike (compare 1439);	Gidoni, an Israelite	Gideoni.
H1442	גָּדַף	gâdaph	gaw-daf'	v	heb	a primitive root;	to hack (with words), i.e. revile	blaspheme, reproach.
H1443	גָּדַר	gâdar	gaw-dar'	v	heb	a primitive root;	to wall in or around	close up, fence up, hedge, inclose, make up (a wall), mason, repairer.
H1444	גֶּדֶר	geder	gheh'-der	n-m	heb	from 1443;	a circumvallation	wall.
H1445	גֶּדֶר	Geder	gheh'-der	n-pr-loc	x-pn	; the same as 1444;	Geder, a place in Palestine	Geder.
H1446	גְדֹר	Gᵉdôr	ghed-ore'	n-pr-m n-pr-loc	x-pn	or (fully) גְּדוֹר; from 1443; inclosure;	Gedor, a place in Palestine; also the name of three Israelites	Gedor.
H1447	גָּדֵר	gâdêr	gaw-dare'	n-m	heb	from 1443;	a circumvallation; by implication, an inclosure	fence, hedge, wall.
H1448	גְּדֵרָה	gᵉdêrâh	ghed-ay-raw'	n-f	heb	feminine of 1447;	inclosure (especially for flocks)	(sheep-) cote (fold) hedge, wall.
H1449	גְּדֵרָה	Gᵉdêrâh	ghed-ay-raw'	n-pr-loc	heb	the same as 1448;	(with the article) Gederah, a place in Palestine	Gederah, hedges.
H1450	גְּדֵרוֹת	Gᵉdêrôwth	ghed-ay-rohth'	n-pr-loc	x-pn	plural of 1448; walls;	Gederoth, a place in Palestine	Gederoth.
H1451	גְּדֵרִי	Gᵉdêrîy	ghed-ay-ree'	a	x-pn	patrial from 1445;	a Gederite, or inhabitant of Geder	Gederite.
H1452	גְּדֵרָתִי	Gᵉdêrâthîy	ghed-ay-raw-thee'	a	x-pn	patrial from 1449;	a Gederathite, or inhabitant of Gederah	Gederathite.
H1453	גְּדֵרֹתַיִם	Gᵉdêrôthayim	ghed-ay-ro-thah'-yim	n-pr-loc	x-pn	dual of 1448; double wall;	Gederothajim, a place in Palestine	Gederothaim.
H1454	גֵּה	gêh	gay	d	heb	probably a clerical error for 2088;	this	this.
H1455	גָּהָה	gâhâh	gaw-haw'	v	heb	a primitive root;	to remove (a bandage from a wound, i.e. heal it)	cure.
H1456	גֵּהָה	gêhâh	gay-haw'	n-f	heb	from 1455;	a cure	medicine.
H1457	גָּהַר	gâhar	gaw-har'	v	heb	a primitive root;	to prostrate oneself	cast self down, stretch self.
H1458	גַּו	gav	gav	n-m	heb	another form for 1460;	the back	back.
H1459	גַּו	gav	gav	n-m	arc	(Aramaic) corresponding to 1460;	the middle	midst, same, there-(where-) in.
H1460	גֵּו	gêv	gave	n-m	heb	from 1342 (corresponding to 1354);	the back; by analogy, the middle	among, back, body.
H1461	גּוּב	gûwb	goob	v	heb	a primitive root;	to dig	husbandman.
H1462	גּוֹב	gôwb	gobe	n-m	heb	from 1461;	the locust (from its grubbing as a larvae)	grasshopper, × great.
H1463	גּוֹג	Gôwg	gohg	n-pr-m	x-pn	of uncertain derivation;	Gog, the name of an Israelite, also of some northern nation	Gog.
H1464	גּוּד	gûwd	goode	v	heb	a primitive root (akin to 1413);	to crowd upon, i.e. attack	invade, overcome.
H1465	גֵּוָה	gêvâh	gay-vaw'	n-f	heb	feminine of 1460;	the back, i.e. (by extension) the person	body.
H1466	גֵּוָה	gêvâh	gay-vaw'	n-f	heb	the same as 1465;	exaltation; (figuratively) arrogance	lifting up, pride.
H1467	גֵּוָה	gêvâh	gay-vaw'	n-f	arc	(Aramaic) corresponding to 1466		pride.
H1468	גּוּז	gûwz	gooz	v	heb	a primitive root (compare 1494);	properly, to shear off; but used only in the (figuratively) sense of passing rapidly	bring, cut off.
H1469	גּוֹזָל	gôwzâl	go-zawl'	n-m	heb	or (shortened) גֹזָלlemma גזָל missing vowel, corrected to גֹזָל; from 1497;	a nestling (as being comparatively nude of feathers)	young (pigeon).
H1470	גּוֹזָן	Gôwzân	go-zawn'	n-pr-loc	x-pn	probably from 1468; a quarry (as a place of cutting stones);	Gozan, a province of Assyria	Gozan.
H1471	גּוֹי	gôwy	go'-ee	n-m n-pr-m	heb	rarely (shortened) גֹּי; apparently from the same root as 1465 (in the sense of massing);	a foreign nation; hence, a Gentile; also (figuratively) a troop of animals, or a flight of locusts	Gentile, heathen, nation, people.
H1472	גְּוִיָּה	gᵉvîyâh	ghev-ee-yaw'	n-f	heb	prolonged for 1465;	a body, whether alive or dead	(dead) body, carcase, corpse.
H1473	גּוֹלָה	gôwlâh	go-law'	n-f	heb	or (shortened) גֹּלָה; active participle feminine of 1540;	exile; concretely and collectively exiles	(carried away), captive(-ity), removing.
H1474	גּוֹלָן	Gôwlân	go-lawn'	n-pr-loc	x-pn	from 1473; captive;	Golan, a place east of the Jordan	Golan.
H1475	גּוּמָּץ	gûwmmâts	goom-mawts'	n-m	heb	of uncertain derivation;	a pit	pit.
H1476	גּוּנִי	Gûwnîy	goo-nee'	n-pr-m	x-pn	probably from 1598; protected;	Guni, the name of two Israelites	Guni.
H1477	גּוּנִי	Gûwnîy	goo-nee'	a	x-pn	patronymically from 1476;	a Gunite (collectively with article prefix) or descendants of Guni	Gunites.
H1478	גָּוַע	gâvaʻ	gaw-vah'	v	heb	a primitive root;	to breathe out, i.e. (by implication) expire	die, be dead, give up the ghost, perish.
H1479	גּוּף	gûwph	goof	v	heb	a primitive root;	properly, to hollow or arch, i.e. (figuratively) close; to shut	shut.
H1480	גּוּפָה	gûwphâh	goo-faw'	n-f	heb	from 1479;	a corpse (as closed to sense)	body.
H1481	גּוּר	gûwr	goor	v	heb	a primitive root;	properly, to turn aside from the road (for a lodging or any other purpose), i.e. sojourn (as a guest); also to shrink, fear (as in a strange place); also to gather for hostility (as afraid)	abide, assemble, be afraid, dwell, fear, gather (together), inhabitant, remain, sojourn, stand in awe, (be) stranger, × surely.
H1482	גּוּר	gûwr	goor	n-m	heb	or (shortened) גֻּר; perhaps from 1481;	a cub (as still abiding in the lair), especially of the lion	whelp, young one.
H1483	גּוּר	Gûwr	goor	n-pr-loc	x-pn	the same as 1482;	Gur, a place in Palestine	Gur.
H1484	גּוֹר	gôwr	gore	n-m	heb	or (feminine) גֹּרָה; a variation of 1482		whelp.
H1485	גּוּר־בַּעַל	Gûwr-Baʻal	goor-bah'-al	n-pr-loc	x-pn	from 1481 and 1168; dwelling of Baal;	Gur-Baal, a place in Arabia	Gur-baal.
H1486	גּוֹרָל	gôwrâl	go-rawl'	n-m	heb	or (shortened) גֹּרָל; from an unused root meaning to be rough (as stone);	properly, a pebble, i.e. a lot (small stones being used for that purpose); figuratively, a portion or destiny (as if determined by lot)	lot.
H1487	גּוּשׁ	gûwsh	goosh	n-m	heb	or rather (by permutation) גִּישׁ; of uncertain derivation;	a mass of earth	clod.
H1488	גֵּז	gêz	gaze	n-m	heb	from 1494;	a fleece (as shorn); also mown grass	fleece, mowing, mown grass.
H1489	גִּזְבָּר	gizbâr	ghiz-bawr'	n-m	heb	of foreign derivation;	treasurer	treasurer.
H1490	גִּזְבָּר	gizbâr	ghiz-bawr'	n-m	arc	(Aramaic) corresponding to 1489		treasurer.
H1491	גָּזָה	gâzâh	gaw-zaw'	v	heb	a primitive root (akin to 1468);	to cut off, i.e. portion out	take.
H1492	גָּזַּה	gâzzah	gaz-zaw'	n-f	heb	feminine from 1494;	a fleece	fleece.
H1493	גִּזוֹנִי	Gizôwnîy	ghee-zo-nee'	a	x-pn	patrial from the unused name of a place apparently in Palestine;	a Gizonite or inhabitant of Gizoh	Gizonite.
H1494	גָּזַז	gazâz	gaw-zaz'	v	heb	a primitive root (akin to 1468);	to cut off; specifically to shear a flock or shave the hair; figuratively to destroy an enemy	cut off (down), poll, shave, (sheep-) shear(-er).
H1495	גָּזֵז	Gâzêz	gaw-zaze'	n-pr-m	x-pn	from 1494; shearer;	Gazez, the name of two Israelites	Gazez.
H1496	גָּזִית	gâzîyth	gaw-zeeth'	n-f	heb	from 1491;	something cut, i.e. dressed stone	hewed, hewn stone, wrought.
H1497	גָּזַל	gâzal	gaw-zal'	v	heb	a primitive root;	to pluck off; specifically to flay, strip or rob	catch, consume, exercise (robbery), pluck (off), rob, spoil, take away (by force, violence), tear.
H1498	גָּזֵל	gâzêl	gaw-zale'	n-m	heb	from 1497;	robbery, or (concretely) plunder	robbery, thing taken away by violence.
H1499	גֵּזֶל	gêzel	ghe'-zel	n-m	heb	from 1497;	plunder, i.e. violence	violence, violent perverting.. gozal. See 1469.
H1500	גְּזֵלָה	gᵉzêlâh	ghez-ay-law'	n-f	heb	feminine of 1498 and meaning the same		that (he had robbed) (which he took violently away), spoil, violence.
H1501	גָּזָם	gâzâm	gaw-zawm'	n-m	heb	from an unused root meaning to devour;	a kind of locust	palmer-worm.
H1502	גַּזָּם	Gazzâm	gaz-zawm'	n-pr-m	x-pn	from the same as 1501; devourer	Gazzam, one of the Nethinim	Gazzam.
H1503	גֶּזַע	gezaʻ	geh'-zah	n-m	heb	from an unused root meaning to cut down (trees);	the trunk or stump of a tree (as felled or as planted)	stem, stock.
H1504	גָּזַר	gâzar	gaw-zar'	v	heb	a primitive root;	to cut down or off; (figuratively) to destroy, divide, exclude, or decide	cut down (off), decree, divide, snatch.
H1505	גְּזַר	gᵉzar	ghez-ar'	v	arc	(Aramaic) corresponding to 1504;	to quarry; determine	cut out, soothsayer.
H1506	גֶּזֶר	gezer	gheh'-zer	n-m	heb	from 1504;	something cut off; a portion	part, piece.
H1507	גֶּזֶר	Gezer	gheh'-zer	n-pr-loc	x-pn	the same as 1506;	Gezer, a place in Palestine	Gazer, Gezer.
H1508	גִּזְרָה	gizrâh	ghiz-raw'	n-f	heb	feminine of 1506;	the figure or person (as if cut out); also an inclosure (as separated)	polishing, separate place.
H1509	גְּזֵרָה	gᵉzêrâh	ghez-ay-raw'	n-f	heb	from 1504;	a desert (as separated)	not inhabited.
H1510	גְּזֵרָה	gᵉzêrâh	ghez-ay-raw'	n-f	arc	(Aramaic) from 1505 (as 1504);	a decree	decree.
H1511	גִּזְרִי	Gizrîy	ghiz-ree'	a	x-pn	(in the m patrial from 1507; a Gezerite (collectively) or inhabitants of Gezer; but better (as in the text) bytransposition גִּזְרִיxlit Girzîy corrected to Gizrîy; patrial of 1630;	a Grizite (collectively) or member of a native tribe in Palestine	Gezrites.
H1512	גָּחוֹן	gâchôwn	gaw-khone'	n-m	heb	probably from 1518; (compare 1521)	the external abdomen, belly (as the source of the faetus)	belly.
H1513	גֶּחֶל	gechel	geh'-khel	n-f	heb	or (feminine) גַּחֶלֶת; from an unused root meaning to glow or kindle;	an ember	(burning) coal.
H1514	גַּחַם	Gacham	gah'-kham	n-pr-m	x-pn	from an unused root meaning to burn; flame;	Gacham, a son of Nahor	Gaham.
H1515	גַּחַר	Gachar	gah'-khar	n-pr-m	x-pn	from an unused root meaning to hide; lurker;	Gachar, one of the Nethinim	Gahar.
H1516	גַּיְא	gayʼ	gah'-ee	n	heb	or (shortened) גַּי; probably (by transmutation) from the same root as 1466 (abbreviated);	a gorge (from its lofty sides; hence, narrow, but not a gully or winter-torrent)	valley.
H1517	גִּיד	gîyd	gheed	n-m	heb	probably from 1464;	a thong (as compressing); by analogy, a tendon	sinew.
H1518	גִּיחַ	gîyach	ghee'-akh	v	heb	or (shortened) גֹּחַ; a primitive root;	to gush forth (as water), generally to issue	break forth, labor to bring forth, come forth, draw up, take out.
H1519	גִּיחַ	gîyach	ghee'-akh	v	arc	(Aramaic) or (shortened) גּוּחַ; (Aramaic), corresponding to 1518;	to rush forth	strive.
H1520	גִּיחַ	Gîyach	ghee'-akh	n-pr-loc	x-pn	from 1518; a fountain;	Giach, a place in Palestine	Giah.
H1521	גִּיחוֹן	Gîychôwn	ghee-khone'	n-pr-m	x-pn	or (shortened) גִּחוֹן; from 1518; stream;	Gichon, a river of Paradise; also a valley (or pool) near Jerusalem	Gihon.
H1522	גֵּיחֲזִי	Gêychăzîy	gay-khah-zee'	n-pr-m	x-pn	or גֵּחֲזִי; apparently from 1516 and 2372; valley of a visionary;	Gechazi, the servant of Elisha	Gehazi.
H1523	גִּיל	gîyl	gheel	v	heb	or (by permutation) גּוּל; a primitive root;	properly, to spin round (under the influence of any violent emotion), i.e. usually rejoice, or (as cringing) fear	be glad, joy, be joyful, rejoice.
H1524	גִּיל	gîyl	gheel	n-m	heb	from 1523;	a revolution (of time, i.e. an age); also joy	× exceedingly, gladness, × greatly, joy, rejoice(-ing), sort.
H1525	גִּילָה	gîylâh	ghee-law'	n-f	heb	or גִּילַת; feminine of 1524;	joy	joy, rejoicing.
H1526	גִּילֹנִי	Gîylônîy	ghee-lo-nee'	a	x-pn	patrial from 1542;	a Gilonite or inhabitant of Giloh	Gilonite.
H1527	גִּינַת	Gîynath	ghee-nath'	n-pr-m	x-pn	of uncertain derivation;	Ginath, an Israelite	Ginath.
H1528	גִּיר	gîyr	gheer	n-m	arc	(Aramaic) corresponding to 1615;	lime	plaster.
H1529	גֵּישָׁן	Gêyshân	gay-shawn'	n-pr-m	x-pn	from the same as 1487; lumpish;	Geshan, an Israelite	Geshan.
H1530	גַּל	gal	gal	n-m	heb	from 1556;	something rolled, i.e. a heap of stone or dung (plural ruins), by analogy, a spring of water (plural waves)	billow, heap, spring, wave.
H1531	גֹּל	gôl	gole	n-m	heb	from 1556;	a cup for oil (as round)	bowl.
H1532	גַּלָּב	gallâb	gal-lawb'	n-m	heb	from an unused root meaning to shave;	a barber	barber.
H1533	גִּלְבֹּעַ	Gilbôaʻ	ghil-bo'-ah	n-pr-loc	x-pn	from 1530 and 1158; fountain of ebullition;	Gilboa, a mountain of Palestine	Gilboa.
H1534	גַּלְגַּל	galgal	gal-gal'	n-m	heb	by reduplication from 1556;	a wheel; by analogy, a whirlwind; also dust (as whirled)	heaven, rolling thing, wheel.
H1535	גַּלְגַּל	galgal	gal-gal'	n-m	arc	(Aramaic) corresponding to 1534;	a wheel	wheel.
H1536	גִּלְגָּל	gilgâl	ghil-gawl'	n-m	heb	a variation of 1534		wheel.
H1537	גִּלְגָּל	Gilgâl	ghil-gawl'	n-pr-loc	x-pn	the same as 1536 (with the article as a properly, noun);	Gilgal, the name of three places in Palestine	Gilgal. See also 1019.
H1538	גֻּלְגֹּלֶת	gulgôleth	gul-go'-leth	n-f	heb	by reduplication from 1556;	a skull (as round); by implication, a head (in enumeration of persons)	head, every man, poll, skull.
H1539	גֶּלֶד	geled	ghe'-led	n-m	heb	from an unused root probably meaning to polish;	the (human) skin (as smooth)	skin.
H1540	גָּלָה	gâlâh	gaw-law'	v	heb	a primitive root;	to denude (especially in a disgraceful sense); by implication, to exile (captives being usually stripped); figuratively, to reveal	advertise, appear, bewray, bring, (carry, lead, go) captive (into captivity), depart, disclose, discover, exile, be gone, open, × plainly, publish, remove, reveal, × shamelessly, shew, × surely, tell, uncover.
H1541	גְּלָה	gᵉlâh	ghel-aw'	v	arc	(Aramaic) or גְּלָא; (Aramaic), corresponding to 1540		bring over, carry away, reveal.
H1542	גִּלֹה	Gilôh	ghee-lo'	n-pr-loc	x-pn	or (fully) גִּילֹה; from 1540; open;	Giloh, a place in Palestine	Giloh.
H1543	גֻּלָּה	gullâh	gool-law'	n-f	heb	feminine from 1556;	a fountain, bowl or globe (all as round)	bowl, pommel, spring.
H1544	גִּלּוּל	gillûwl	ghil-lool'	n-m	heb	or (shortened) גִּלֻּל; from 1556;	properly, a log (as round); by implication, an idol	idol.
H1545	גְּלוֹם	gᵉlôwm	ghel-ome'	n-m	heb	from 1563;	clothing (as wrapped)	clothes.
H1546	גָּלוּת	gâlûwth	gaw-looth'	n-f	heb	feminine from 1540;	captivity; concretely, exiles (collectively)	(they that are carried away) captives(-ity).
