strongs	word	transliteration	derivation	definition	kjv_usage
G2951	κύμινον	kýminon	of foreign origin (compare H03646);	dill or fennel ("cummin")	cummin
G2952	κυνάριον	kynárion	neuter of a presumed derivative of G2965 (κύων);	a puppy	dog
G2953	Κύπριος	Kýprios	from G2954 (Κύπρος);	a Cyprian (Cypriot), i.e. inhabitant of Cyprus	of Cyprus
G2954	Κύπρος	Kýpros	of uncertain origin;	Cyprus, an island in the Mediterranean	Cyprus
G2955	κύπτω	kýptō	probably from the base of G2949 (κῦμα);	to bend forward	stoop (down)
G2956	Κυρηναῖος	Kyrēnaîos	from G2957 (Κυρήνη);	i.e. Cyrenæan, i.e. inhabitant of Cyrene	of Cyrene, Cyrenian
G2957	Κυρήνη	Kyrḗnē	of uncertain derivation;	Cyrene, a region of Africa	Cyrene
G2958	Κυρήνιος	Kyrḗnios	of Latin origin;	Cyrenius (i.e. Quirinus), a Roman	Cyrenius
G2959	Κυρία	Kyría	feminine of G2962 (κύριος);	Cyria, a Christian woman	lady
G2960	κυριακός	kyriakós	from G2962 (κύριος);	belonging to the Lord (Jehovah or Jesus)	Lord's
G2961	κυριεύω	kyrieúō	from G2962 (κύριος);	to rule	have dominion over, lord, be lord of, exercise lordship over
G2962	κύριος	kýrios	from (supremacy);	supreme in authority, i.e. (as noun) controller; by implication, Master (as a respectful title)	God, Lord, master, Sir
G2963	κυριότης	kyriótēs	from G2962 (κύριος);	mastery, i.e. (concretely and collectively) rulers	dominion, government
G2964	κυρόω	kyróō	from the same as G2962 (κύριος);	to make authoritative, i.e. ratify	confirm
G2965	κύων	kýōn	a primary word;	a dog ("hound") (literally or figuratively)	dog
G2966	κῶλον	kōlon	from the base of G2849 (κολάζω);	a limb of the body (as if lopped)	carcase
G2967	κωλύω	kōlýō	from the base of G2849 (κολάζω);	to estop, i.e. prevent (by word or act)	forbid, hinder, keep from, let, not suffer, withstand
G2968	κώμη	kṓmē	from G2749 (κεῖμαι);	a hamlet (as if laid down)	town, village
G2969	κωμόπολις	kōmópolis	from G2968 (κώμη) and G4172 (πόλις);	an unwalled city	town
G2970	κῶμος	kōmos	from G2749 (κεῖμαι);	a carousal (as if letting loose)	revelling, rioting
G2971	κώνωψ	kṓnōps	apparently a derivative of the base of G2759 (κέντρον) and a derivative of G3700 (ὀπτάνομαι);	a mosquito (from its stinging proboscis)	gnat
G2972	Κώς	Kṓs	of uncertain origin;	Cos, an island in the Mediterranean	Cos
G2973	Κωσάμ	Kōsám	of Hebrew origin (compare H07081);	Cosam (i.e. Kosam) an Israelite	Cosam
G2974	κωφός	kōphós	from G2875 (κόπτω);	blunted, i.e. (figuratively) of hearing (deaf) or speech (dumb)	deaf, dumb, speechless
G2975	λαγχάνω	lanchánō	a prolonged form of a primary verb, which is only used as an alternate in certain tenses;	to lot, i.e. determine (by implication, receive) especially by lot	his lot be, cast lots, obtain
G2976	Λάζαρος	Lázaros	probably of Hebrew origin (H0499);	Lazarus (i.e. Elazar), the name of two Israelites (one imaginary)	Lazarus
G2977	λάθρα	láthra	adverb from G2990 (λανθάνω);	privately	privily, secretly
G2978	λαῖλαψ	laîlaps	of uncertain derivation;	a whirlwind (squall)	storm, tempest
G2979	λακτίζω	laktízō	from adverb (heelwise);	to recalcitrate	kick
G2980	λαλέω	laléō	a prolonged form of an otherwise obsolete verb;	to talk, i.e. utter words	preach, say, speak (after), talk, tell, utter
G2981	λαλιά	laliá	from G2980 (λαλέω);	talk	saying, speech
G2982	λαμά	lamá	of Hebrew origin (H04100 with prepositional prefix);	lama (i.e. why)	lama
G2983	λαμβάνω	lambánō	a prolonged form of a primary verb, which is use only as an alternate in certain tenses; to take (in very many applications, literally and figuratively (properly objective or active, to get hold of; whereas G1209 (δέχομαι) is rather subjective or passive, to have offered to one;	while G138 (αἱρέομαι) is more violent, to seize or remove))	accept, + be amazed, assay, attain, bring, X when I call, catch, come on (X unto), + forget, have, hold, obtain, receive (X after), take (away, up)
G2984	Λάμεχ	Lámech	of Hebrew origin (H03929);	Lamech (i.e. Lemek), a patriarch	Lamech
G2985	λαμπάς	lampás	from G2989 (λάμπω);	a "lamp" or flambeau	lamp, light, torch
G2986	λαμπρός	lamprós	from the same as G2985 (λαμπάς);	radiant; by analogy, limpid; figuratively, magnificent or sumptuous (in appearance)	bright, clear, gay, goodly, gorgeous, white
G2987	λαμπρότης	lamprótēs	from G2986 (λαμπρός);	brilliancy	brightness
G2988	λαμπρῶς	lamprōs	adverb from G2986 (λαμπρός);	brilliantly, i.e. figuratively, luxuriously	sumptuously
G2989	λάμπω	lámpō	a primary verb;	to beam, i.e. radiate brilliancy (literally or figuratively)	give light, shine
G2990	λανθάνω	lanthánō	a prolonged form of a primary verb, which is used only as an alternate in certain tenses;	to lie hid (literally or figuratively); often used adverbially, unwittingly	be hid, be ignorant of, unawares
G2991	λαξευτός	laxeutós	from a compound of (a stone) and the base of G3584 (ξηρός) (in its original sense of scraping);	rock-quarried	hewn in stone
G2992	λαός	laós	apparently a primary word;	a people (in general; thus differing from G1218 (δῆμος), which denotes one's own populace)	people
G2993	Λαοδίκεια	Laodíkeia	from a compound of G2992 (λαός) and G1349 (δίκη);	Laodicia, a place in Asia Minor	Laodicea
G2994	Λαοδικεύς	Laodikeús	from G2993 (Λαοδίκεια);	a Laodicean, i.e. inhabitant of Laodicia	Laodicean
G2995	λάρυγξ	lárynx	of uncertain derivation;	the throat ("larynx")	throat
G2996	Λασαία	Lasaía	of uncertain origin;	Lasæa, a place in Crete	Lasea
G2997	λάσχω	láschō	a strengthened form of a primary verb, which only occurs in this and another prolonged form as alternate in certain tenses;	to crack open (from a fall)	burst asunder
G2998	λατομέω	latoméō	from the same as the first part of G2991 (λαξευτός) and the base of G5114 (τομώτερος);	to quarry	hew
G2999	λατρεία	latreía	from G3000 (λατρεύω);	ministration of God, i.e. worship	(divine) service
G3000	λατρεύω	latreúō	from (a hired menial);	to minister (to God), i.e. render religious homage	serve, do the service, worship(-per)
G3001	λάχανον	láchanon	from (to dig);	a vegetable	herb
G3002	Λεββαῖος	Lebbaîos	of uncertain origin;	Lebbæus, a Christian	Lebbæus
